ID	StationNumber	lat	lon	elev	state	station_Name	Field7	Field8	Field9	Field10	StationID
309	137979	42.63	-95.16	434.30	IA	STORM LAKE 2 E	------	------	------	6	USH00137979
310	138296	42.03	-92.58	289.30	IA	TOLEDO 3N	------	------	------	6	USH00138296
311	138688	41.28	-91.70	210.30	IA	WASHINGTON	------	------	------	6	USH00138688
312	140264	37.15	-98.02	408.40	KS	ANTHONY	------	------	------	6	USH00140264
313	140365	37.19	-99.76	600.50	KS	ASHLAND	------	------	------	6	USH00140365
314	140405	39.57	-95.11	288.00	KS	ATCHISON	------	------	------	6	USH00140405
315	141704	37.27	-99.32	634.90	KS	COLDWATER	------	------	------	6	USH00141704
316	141740	37.17	-94.83	275.80	KS	COLUMBUS	------	------	------	6	USH00141740
317	141867	38.67	-96.50	402.30	KS	COUNCIL GROVE LAKE	142602	------	------	6	USH00141867
318	142401	37.81	-96.84	393.20	KS	EL DORADO	------	------	------	6	USH00142401
319	142459	38.72	-98.22	466.30	KS	ELLSWORTH	------	------	------	6	USH00142459
320	142835	37.84	-94.70	257.60	KS	FT SCOTT	------	------	------	6	USH00142835
321	143527	38.85	-99.33	612.60	KS	HAYS 1 S	------	------	------	6	USH00143527
322	143810	39.67	-95.52	313.90	KS	HORTON	------	------	------	6	USH00143810
323	143954	37.23	-95.70	245.40	KS	INDEPENDENCE	------	------	------	6	USH00143954
324	144087	38.19	-99.91	740.70	KS	JETMORE 8NNW	144081	------	------	6	USH00144087
325	144464	37.94	-101.24	913.80	KS	LAKIN	------	------	------	7	USH00144464
326	144530	38.18	-99.09	608.10	KS	LARNED	------	------	------	6	USH00144530
327	144559	38.95	-95.25	306.30	KS	LAWRENCE	------	------	------	6	USH00144559
328	144588	39.32	-94.91	265.20	KS	LEAVENWORTH	------	------	------	6	USH00144588
329	144695	37.02	-100.92	863.80	KS	LIBERAL	------	------	------	6	USH00144695
330	144972	39.19	-96.58	324.60	KS	MANHATTAN	------	------	------	6	USH00144972
331	145152	38.37	-97.60	463.30	KS	MCPHERSON	------	------	------	6	USH00145152
332	145173	37.27	-98.58	448.10	KS	MEDICINE LODGE	------	------	------	6	USH00145173
333	145363	39.12	-97.70	402.90	KS	MINNEAPOLIS	------	------	------	6	USH00145363
334	145856	39.74	-99.83	719.30	KS	NORTON 9SSE	------	------	------	6	USH00145856
335	145906	39.81	-100.53	795.50	KS	OBERLIN	------	------	------	6	USH00145906
336	145972	38.88	-94.76	321.60	KS	OLATHE 3E	------	------	------	6	USH00145972
337	146128	38.61	-95.28	280.10	KS	OTTAWA	------	------	------	6	USH00146128
338	147093	39.76	-101.80	1024.70	KS	SAINT FRANCIS	------	------	------	6	USH00147093
339	147271	38.48	-100.91	905.30	KS	SCOTT CITY	------	------	------	6	USH00147271
340	147305	37.13	-96.18	274.30	KS	SEDAN	------	------	------	6	USH00147305
341	147542	39.77	-98.77	542.50	KS	SMITH CTR	146374	------	------	6	USH00147542
342	148495	39.02	-99.88	749.80	KS	WAKEENEY	------	------	------	6	USH00148495
343	150254	38.45	-82.61	170.70	KY	ASHLAND	333971	------	------	5	USH00150254
344	150381	36.88	-83.88	301.80	KY	BARBOURVILLE	155389	------	------	5	USH00150381
345	150619	37.57	-84.29	326.10	KY	BEREA COLLEGE	------	------	------	5	USH00150619
346	150909	36.96	-86.42	160.90	KY	BOWLING GREEN RGNL AP	------	------	------	6	USH00150909
347	152791	38.11	-83.55	207.30	KY	FARMERS 2 S	------	------	------	5	USH00152791
348	153028	38.20	-84.88	140.80	KY	FRANKFORT DOWNTOWN	------	------	------	5	USH00153028
349	153430	37.25	-85.50	179.80	KY	GREENSBURG	------	------	------	6	USH00153430
350	153762	37.75	-87.64	136.90	KY	HENDERSON 8 SSW	156091	------	------	6	USH00153762
351	153994	36.84	-87.52	158.50	KY	HOPKINSVILLE	------	------	------	6	USH00153994
352	154703	37.51	-86.28	189.00	KY	LEITCHFIELD 2 N	------	------	------	6	USH00154703
353	157324	38.20	-85.20	222.50	KY	SHELBYVILLE 1 E	------	------	------	5	USH00157324
354	158709	36.73	-84.15	286.50	KY	WILLIAMSBURG	158706	------	------	5	USH00158709
355	158714	38.65	-84.61	286.50	KY	WILLIAMSTOWN 3 W	------	------	------	5	USH00158714
356	160098	31.32	-92.46	26.50	LA	ALEXANDRIA	------	------	------	6	USH00160098
357	160205	30.70	-90.52	51.80	LA	AMITE	------	------	------	6	USH00160205
358	160537	32.76	-92.00	45.70	LA	BASTROP	------	------	------	6	USH00160537
359	160549	30.53	-91.14	19.50	LA	BATON ROUGE METRO AP	------	------	------	6	USH00160549
360	161287	30.95	-92.17	24.40	LA	BUNKIE	161729	------	------	6	USH00161287
361	161411	32.51	-92.34	54.90	LA	CALHOUN RSCH STN	------	------	------	6	USH00161411
362	162151	30.52	-90.11	12.20	LA	COVINGTON 4 NNW	------	------	------	6	USH00162151
363	162534	30.07	-91.02	9.10	LA	DONALDSONVILLE 4 SW	------	------	------	6	USH00162534
364	163313	29.82	-91.54	3.70	LA	FRANKLIN 3 NW	------	------	------	6	USH00163313
365	163800	30.41	-92.04	16.80	LA	GRAND COTEAU	166117	------	------	6	USH00163800
366	164407	29.58	-90.73	4.60	LA	HOUMA	------	------	------	6	USH00164407
367	164700	30.20	-92.66	7.60	LA	JENNINGS	------	------	------	6	USH00164700
368	165026	30.20	-91.98	11.60	LA	LAFAYETTE FCWOS	------	------	------	6	USH00165026
369	166664	29.91	-90.13	6.10	LA	NEW ORLEANS AUDUBON	166665	------	------	6	USH00166664
370	167344	32.90	-93.79	88.40	LA	PLAIN DEALING 4 W	------	------	------	6	USH00167344
371	168163	31.94	-91.23	23.80	LA	ST JOSEPH 3 N	------	------	------	6	USH00168163
372	169013	29.77	-90.78	4.60	LA	THIBODAUX 3 ESE	168295	------	------	6	USH00169013
373	169806	32.09	-91.70	24.40	LA	WINNSBORO 5 SSE	------	------	------	6	USH00169806
374	170100	44.37	-68.25	143.30	ME	ACADIA NP	170371	------	------	5	USH00170100
375	170814	45.66	-69.81	323.10	ME	BRASSUA DAM	177174	------	------	5	USH00170814
376	171628	44.91	-69.24	90.50	ME	CORINNA	176430	------	------	5	USH00171628
377	172426	44.90	-66.99	25.90	ME	EASTPORT	------	------	------	5	USH00172426
378	172765	44.68	-70.15	128.00	ME	FARMINGTON	------	------	------	5	USH00172765
379	173046	44.22	-69.78	42.70	ME	GARDINER	------	------	------	5	USH00173046
380	173944	46.20	-67.84	118.90	ME	HOULTON 5N	173897	------	------	5	USH00173944
381	174566	44.10	-70.21	54.90	ME	LEWISTON	------	------	------	5	USH00174566
382	175304	45.65	-68.70	109.70	ME	MILLINOCKET	------	------	------	5	USH00175304
383	176905	43.64	-70.30	13.70	ME	PORTLAND JETPORT	------	------	------	5	USH00176905
384	176937	46.65	-68.00	182.60	ME	PRESQUE ISLE	------	------	------	5	USH00176937
385	179891	45.15	-67.40	42.70	ME	WOODLAND	------	------	------	5	USH00179891
386	180700	39.03	-76.93	44.20	MD	BELTSVILLE	181995	------	------	5	USH00180700
387	181385	38.56	-76.06	3.00	MD	CAMBRIDGE WATER TRMT P	------	------	------	5	USH00181385
388	181750	39.21	-76.05	12.20	MD	CHESTERTOWN	------	------	------	5	USH00181750
389	182282	39.64	-78.75	222.50	MD	CUMBERLAND 2	182280	------	------	5	USH00182282
390	182523	38.88	-75.80	14.90	MD	DENTON 2 E	187575	------	------	5	USH00182523
391	183675	38.96	-76.80	45.70	MD	GLENN DALE BELL STN	------	------	------	5	USH00183675
392	185111	39.08	-76.90	121.90	MD	LAUREL 3 W	------	------	------	5	USH00185111
393	185718	39.28	-76.61	6.10	MD	MD SCI CTR BALTIMORE	180470	------	------	5	USH00185718
394	185985	39.27	-75.87	9.10	MD	MILLINGTON 1 SE	------	------	------	5	USH00185985
395	186620	39.41	-79.40	737.60	MD	OAKLAND 1 SE	------	------	------	5	USH00186620
396	186770	38.68	-76.66	48.80	MD	OWINGS FERRY LANDING	------	------	------	5	USH00186770
397	187330	38.21	-75.68	6.10	MD	PRINCESS ANNE	------	------	------	5	USH00187330
398	187806	38.71	-76.18	3.00	MD	ROYAL OAK 2 SSW	182700	------	------	5	USH00187806
399	188000	38.36	-75.58	3.00	MD	SALISBURY	------	------	------	5	USH00188000
400	189440	39.55	-76.96	233.20	MD	WESTMINSTER POL BRKS	189435	------	------	5	USH00189440
401	189750	39.33	-76.86	140.20	MD	WOODSTOCK	------	------	------	5	USH00189750
402	190120	42.38	-72.53	45.70	MA	AMHERST	------	------	------	5	USH00190120
403	190535	42.48	-71.28	48.80	MA	BEDFORD	191622	------	------	5	USH00190535
404	190736	42.21	-71.11	192.00	MA	BLUE HILL	------	------	------	5	USH00190736
405	193213	42.14	-73.41	249.00	MA	GREAT BARRINGTON 5 SW	198181	------	------	5	USH00193213
406	194105	42.69	-71.16	15.20	MA	LAWRENCE	------	------	------	5	USH00194105
407	195246	41.63	-70.93	21.30	MA	NEW BEDFORD	------	------	------	5	USH00195246
408	196486	41.98	-70.69	13.70	MA	PLYMOUTH-KINGSTON	------	------	------	5	USH00196486
409	196681	42.05	-70.18	6.10	MA	PROVINCETOWN	196676	------	------	5	USH00196681
410	196783	42.52	-71.12	27.40	MA	READING	191447	------	------	5	USH00196783
411	198367	41.90	-71.06	6.10	MA	TAUNTON	------	------	------	5	USH00198367
412	198757	42.16	-71.24	50.30	MA	WALPOLE 2	192975	------	------	5	USH00198757
413	199316	42.13	-71.43	64.00	MA	WEST MEDWAY	191561	------	------	5	USH00199316
414	200032	41.91	-84.01	231.60	MI	ADRIAN 2 NNE	------	------	------	5	USH00200032
415	200128	42.58	-85.78	228.60	MI	ALLEGAN 5NE	------	------	------	5	USH00200128
416	200146	43.38	-84.64	224.00	MI	ALMA	------	------	------	5	USH00200146
417	200230	42.29	-83.71	274.30	MI	ANN ARBOR U OF	------	------	------	5	USH00200230
418	200779	43.70	-85.48	283.50	MI	BIG RAPIDS WTR WKS	------	------	------	5	USH00200779
419	201439	46.51	-87.98	487.40	MI	CHAMPION VAN RIPER PK	204127	------	------	5	USH00201439
420	201486	46.34	-86.92	265.20	MI	CHATHAM EXP FARM 2	201484	------	------	5	USH00201486
421	201492	45.65	-84.47	179.20	MI	CHEBOYGAN	------	------	------	5	USH00201492
422	201675	41.96	-84.99	299.90	MI	COLDWATER ST SCHOOL	------	------	------	5	USH00201675
423	202423	44.28	-83.50	178.60	MI	EAST TAWAS	------	------	------	5	USH00202423
424	202737	45.66	-86.71	227.10	MI	FAYETTE 4 SW	------	------	------	5	USH00202737
425	203632	43.67	-86.42	234.70	MI	HART 3 WSW	------	------	------	5	USH00203632
426	203823	41.93	-84.64	329.20	MI	HILLSDALE	------	------	------	5	USH00203823
427	204090	45.78	-88.08	326.40	MI	IRON MT KINGSFORD WWTP	------	------	------	6	USH00204090
428	204104	46.46	-90.18	435.90	MI	IRONWOOD	------	------	------	6	USH00204104
429	204244	42.28	-85.60	289.60	MI	KALAMAZOO STATE HOSP	------	------	------	5	USH00204244
430	205434	43.60	-84.20	195.10	MI	MIDLAND	205436	------	------	5	USH00205434
431	205650	42.60	-82.81	176.80	MI	MT CLEMENS ANG BASE	------	------	------	5	USH00205650
432	205662	43.58	-84.76	242.60	MI	MT PLEASANT UNIV	------	------	------	5	USH00205662
433	205690	46.41	-86.66	207.30	MI	MUNISING	------	------	------	5	USH00205690
434	205816	46.31	-85.51	259.10	MI	NEWBERRY 3S	------	------	------	5	USH00205816
435	206300	43.01	-84.18	222.50	MI	OWOSSO WWTP	------	------	------	5	USH00206300
436	207690	42.40	-86.28	189.00	MI	SOUTH HAVEN	------	------	------	5	USH00207690
437	207812	46.05	-88.62	442.00	MI	STAMBAUGH 2SSE	------	------	------	6	USH00207812
438	210018	47.29	-96.51	276.50	MN	ADA	------	------	------	6	USH00210018
439	210075	43.60	-93.30	374.90	MN	ALBERT LEA 3 SE	------	------	------	6	USH00210075
440	210252	48.33	-96.82	258.20	MN	ARGYLE	213455	------	------	6	USH00210252
441	210515	48.70	-94.58	323.70	MN	BAUDETTE	------	------	------	6	USH00210515
442	211465	44.80	-93.58	219.50	MN	CHASKA	215136	------	------	6	USH00211465
443	211630	46.70	-92.52	385.60	MN	CLOQUET	------	------	------	6	USH00211630
444	212142	46.83	-95.83	413.00	MN	DETROIT LAKES 1 NNE	------	------	------	6	USH00212142
445	212645	47.45	-92.53	440.40	MN	EVELETH WWTP	218543	------	------	6	USH00212645
446	212698	43.64	-94.46	361.80	MN	FAIRMONT	------	------	------	6	USH00212698
447	212737	44.66	-93.17	298.70	MN	FARMINGTON 3 NW	------	------	------	6	USH00212737
448	212916	47.56	-95.72	399.30	MN	FOSSTON 1 E	------	------	------	6	USH00212916
449	213290	43.70	-92.56	411.50	MN	GRAND MEADOW	------	------	------	6	USH00213290
450	213303	47.24	-93.49	399.30	MN	GRAND RPDS FOREST LAB	216612	------	------	6	USH00213303
451	214106	47.22	-95.19	454.20	MN	ITASCA UNIV OF MINN	------	------	------	6	USH00214106
452	214652	47.24	-94.22	396.80	MN	LEECH LAKE	------	------	------	6	USH00214652
453	215175	47.63	-93.65	422.80	MN	MARCELL 5NE	219059	------	------	6	USH00215175
454	215400	45.12	-95.92	310.90	MN	MILAN 1 NW	------	------	------	6	USH00215400
455	215435	44.88	-93.22	265.80	MN	MINNEAPOLIS/ST PAUL AP	------	------	------	6	USH00215435
456	215563	44.93	-95.75	300.20	MN	MONTEVIDEO 1 SW	------	------	------	6	USH00215563
457	215615	45.87	-93.31	310.30	MN	MORA	------	------	------	6	USH00215615
458	215638	45.59	-95.87	347.50	MN	MORRIS WC EXP STN	------	------	------	6	USH00215638
459	215887	44.30	-94.48	271.30	MN	NEW ULM 2 SE	------	------	------	6	USH00215887
460	216152	44.76	-94.92	335.30	MN	OLIVIA 3E	210783	------	------	6	USH00216152
461	216360	46.90	-95.06	437.10	MN	PARK RAPIDS 2 S	------	------	------	6	USH00216360
462	216547	46.66	-94.10	381.00	MN	PINE RIVER DAM	------	------	------	6	USH00216547
463	216565	44.01	-96.32	519.70	MN	PIPESTONE	------	------	------	6	USH00216565
464	217087	48.84	-95.76	319.10	MN	ROSEAU	------	------	------	6	USH00217087
465	217405	44.32	-93.96	259.10	MN	ST PETER	------	------	------	6	USH00217405
466	217460	46.79	-93.32	376.10	MN	SANDY LAKE DAM LIBBY	------	------	------	6	USH00217460
467	218419	47.02	-91.66	190.50	MN	TWO HARBORS	------	------	------	6	USH00218419
468	218618	47.07	-94.57	429.80	MN	WALKER AH GWAH CHING	------	------	------	6	USH00218618
469	219046	43.76	-94.18	338.30	MN	WINNEBAGO	------	------	------	6	USH00219046
470	219249	44.29	-92.66	300.20	MN	ZUMBROTA	------	------	------	6	USH00219249
471	220021	33.83	-88.52	60.40	MS	ABERDEEN	------	------	------	6	USH00220021
472	220488	34.30	-89.98	67.10	MS	BATESVILLE 2 SW	------	------	------	6	USH00220488
473	220955	34.66	-88.57	149.40	MS	BOONEVILLE	------	------	------	6	USH00220955
474	221094	31.54	-90.45	132.60	MS	BROOKHAVEN CITY	------	------	------	6	USH00221094
475	221389	32.67	-90.03	76.20	MS	CANTON 4N	------	------	------	6	USH00221389
476	221707	34.18	-90.55	52.70	MS	CLARKSDALE	------	------	------	6	USH00221707
477	221865	31.25	-89.83	45.70	MS	COLUMBIA	------	------	------	6	USH00221865
478	221880	33.46	-88.38	44.20	MS	COLUMBUS	221870	------	------	6	USH00221880
479	221962	34.87	-88.61	117.30	MS	CORINTH 7 SW	------	------	------	6	USH00221962
480	222094	31.94	-90.37	148.40	MS	CRYSTAL SPGS EXP STN	222099	------	------	6	USH00222094
481	223107	32.36	-89.42	137.20	MS	FOREST	224824	------	------	6	USH00223107
482	223605	33.35	-91.06	38.10	MS	GREENVILLE	------	------	------	6	USH00223605
483	223887	31.25	-89.33	117.30	MS	HATTIESBURG 5SW	------	------	------	6	USH00223887
484	223975	34.81	-89.98	115.80	MS	HERNANDO	------	------	------	6	USH00223975
485	224173	34.82	-89.43	147.20	MS	HOLLY SPRINGS 4 N	224168	------	------	6	USH00224173
486	224776	33.05	-89.57	125.00	MS	KOSCIUSKO	------	------	------	6	USH00224776
487	224939	31.67	-89.12	68.60	MS	LAUREL	------	------	------	6	USH00224939
488	225247	33.13	-89.07	177.10	MS	LOUISVILLE	------	------	------	6	USH00225247
489	225987	31.55	-90.10	58.20	MS	MONTICELLO	------	------	------	6	USH00225987
490	226009	33.45	-90.50	35.70	MS	MOORHEAD	------	------	------	6	USH00226009
491	226177	31.58	-91.34	59.40	MS	NATCHEZ	------	------	------	6	USH00226177
492	226718	30.39	-88.47	3.70	MS	PASCAGOULA 3 NE	220792	------	------	6	USH00226718
493	227111	34.13	-88.99	123.40	MS	PONTOTOC EXP STN	227106	------	------	6	USH00227111
494	227128	30.84	-89.54	95.40	MS	POPLARVILLE EXP STN	225687	------	------	6	USH00227128
495	227132	31.98	-90.97	36.60	MS	PORT GIBSON 1 NE	------	------	------	6	USH00227132
496	228374	33.46	-88.78	56.40	MS	STATE UNIV	------	------	------	6	USH00228374
497	229079	34.38	-89.53	124.40	MS	UNIVERSITY	------	------	------	6	USH00229079
498	229400	34.15	-89.63	94.50	MS	WATER VALLEY	------	------	------	6	USH00229400
499	229426	30.29	-89.38	2.40	MS	WAVELAND	220519	------	------	6	USH00229426
500	229439	31.67	-88.67	61.00	MS	WAYNESBORO 2 W	229444	------	------	6	USH00229439
501	229793	31.09	-91.23	121.90	MS	WOODVILLE 4 ESE	------	------	------	6	USH00229793
502	229860	32.90	-90.38	32.60	MS	YAZOO CITY 5 NNE	229850	------	------	6	USH00229860
503	230204	38.18	-94.02	259.70	MO	APPLETON CITY	------	------	------	6	USH00230204
504	230856	39.34	-91.17	270.40	MO	BOWLING GREEN 1 E	235093	235903	------	6	USH00230856
505	231037	39.42	-93.13	201.80	MO	BRUNSWICK	------	------	------	6	USH00231037
506	231364	36.16	-89.66	82.30	MO	CARUTHERSVILLE	------	------	------	6	USH00231364
507	231711	38.39	-93.77	234.70	MO	CLINTON	------	------	------	6	USH00231711
508	231822	40.23	-94.68	337.70	MO	CONCEPTION	------	------	------	6	USH00231822
509	232289	36.62	-90.81	88.10	MO	DONIPHAN	------	------	------	6	USH00232289
510	232809	37.79	-90.41	282.90	MO	FARMINGTON	230224	------	------	6	USH00232809
511	234271	38.58	-92.18	204.20	MO	JEFFERSON CITY WTP	------	------	------	6	USH00234271
512	234705	37.49	-94.26	298.70	MO	LAMAR	------	------	------	6	USH00234705
513	234825	37.68	-92.69	389.80	MO	LEBANON 2W	------	------	------	6	USH00234825
514	234850	38.88	-94.33	304.80	MO	LEES SUMMIT REED WR	233649	------	------	6	USH00234850
515	234904	39.18	-93.85	251.50	MO	LEXINGTON 3E	------	------	------	6	USH00234904
516	235027	37.39	-93.94	326.10	MO	LOCKWOOD	------	------	------	6	USH00235027
517	235253	37.30	-89.96	118.90	MO	MARBLE HILL	------	------	------	6	USH00235253
518	235541	39.17	-91.88	244.40	MO	MEXICO	------	------	------	6	USH00235541
519	235671	39.41	-92.43	262.10	MO	MOBERLY	235175	------	------	6	USH00235671
520	235834	37.15	-92.26	442.00	MO	MTN GROVE 2 N	------	------	------	6	USH00235834
521	235976	36.86	-94.36	308.20	MO	NEOSHO	------	------	------	6	USH00235976
522	237263	37.95	-91.77	355.70	MO	ROLLA UNI OF MISSOURI	------	------	------	6	USH00237263
523	237963	40.24	-93.71	266.70	MO	SPICKARD 7 W	238444	------	------	6	USH00237963
524	238051	39.97	-91.88	210.30	MO	STEFFENVILLE	------	------	------	6	USH00238051
525	238223	38.96	-93.41	205.70	MO	SWEET SPRINGS	238712	------	------	6	USH00238223
526	238466	38.25	-93.39	192.60	MO	TRUMAN DAM & RSVR	238733	------	------	6	USH00238466
527	238523	40.47	-93.00	323.10	MO	UNIONVILLE	------	------	------	6	USH00238523
528	238725	38.83	-91.13	252.10	MO	WARRENTON 1 N	------	------	------	6	USH00238725
529	240199	46.13	-112.95	1609.30	MT	ANACONDA	242604	------	------	7	USH00240199
530	240364	47.49	-112.39	1240.50	MT	AUGUSTA	------	------	------	7	USH00240364
531	240780	45.83	-109.95	1249.70	MT	BIG TIMBER	------	------	------	7	USH00240780
532	241044	45.66	-111.04	1497.50	MT	BOZEMAN MONTANA ST U	------	------	------	7	USH00241044
533	241552	47.21	-111.71	1024.10	MT	CASCADE 5 S	------	------	------	7	USH00241552
534	241722	48.58	-109.22	737.60	MT	CHINOOK	------	------	------	7	USH00241722
535	241737	47.82	-112.19	1172.00	MT	CHOTEAU	------	------	------	7	USH00241737
536	242173	48.60	-112.37	1169.80	MT	CUT BANK AP	------	------	------	7	USH00242173
537	242409	45.21	-112.64	1593.50	MT	DILLON WMCE	------	------	------	7	USH00242409
538	242689	45.89	-104.54	1043.90	MT	EKALAKA	------	------	------	7	USH00242689
539	242793	45.33	-111.71	1509.70	MT	ENNIS	------	------	------	7	USH00242793
540	243013	46.85	-108.31	954.90	MT	FLATWILLOW 4 ENE	------	------	------	7	USH00243013
541	243089	48.77	-107.45	792.20	MT	FORKS 4 NNE	------	------	------	7	USH00243089
542	243110	48.49	-109.79	796.40	MT	FT ASSINNIBOINE	------	------	------	7	USH00243110
543	243139	48.77	-114.89	914.40	MT	FORTINE 1 N	------	------	------	7	USH00243139
544	243558	48.21	-106.62	696.50	MT	GLASGOW INTL AP	243557	------	------	7	USH00243558
545	243581	47.10	-104.71	632.80	MT	GLENDIVE	------	------	------	7	USH00243581
546	243751	47.47	-111.38	1116.80	MT	GREAT FALLS AP	243749	------	------	7	USH00243751
547	243885	46.25	-114.16	1080.50	MT	HAMILTON	------	------	------	7	USH00243885
548	244038	44.86	-111.33	1977.80	MT	HEBGEN DAM	------	------	------	7	USH00244038
549	244055	46.60	-111.96	1166.80	MT	HELENA AP ASOS	------	------	------	7	USH00244055
550	244345	45.92	-108.24	924.80	MT	HUNTLEY EXP STN	------	------	------	7	USH00244345
551	244364	45.93	-107.13	944.90	MT	HYSHAM 25 SSE	242112	------	------	7	USH00244364
552	244522	47.31	-106.91	798.60	MT	JORDAN	------	------	------	7	USH00244522
553	244558	48.30	-114.26	901.30	MT	KALISPELL GLACIER AP	------	------	------	7	USH00244558
554	245015	48.40	-115.53	638.90	MT	LIBBY 1 NE RS	------	------	------	7	USH00245015
555	245080	45.48	-110.56	1484.40	MT	LIVINGSTON 12 S	245076	------	------	7	USH00245080
556	245338	48.39	-107.72	680.00	MT	MALTA 7 E	245337	------	------	7	USH00245338
557	245572	48.48	-104.45	591.90	MT	MEDICINE LAKE 3 SE	------	------	------	7	USH00245572
558	245668	46.76	-104.96	757.10	MT	MILDRED 5 N	245666	------	------	7	USH00245668
559	245690	46.42	-105.88	799.80	MT	MILES CITY AP	245685	------	------	7	USH00245690
560	245761	47.05	-109.95	1310.60	MT	MOCCASIN EXP STN	------	------	------	7	USH00245761
561	246157	45.48	-111.63	1446.30	MT	NORRIS MADISON PH	------	------	------	7	USH00246157
562	246472	46.31	-113.30	1606.30	MT	PHILIPSBURG RS	246470	------	------	7	USH00246472
563	246601	46.41	-104.51	847.30	MT	PLEVNA	------	------	------	7	USH00246601
564	246918	45.17	-109.24	1718.20	MT	RED LODGE	------	------	------	7	USH00246918
565	247286	47.31	-114.09	883.90	MT	SAINT IGNATIUS	------	------	------	7	USH00247286
566	247318	47.30	-115.09	810.80	MT	SAINT REGIS 1 NE	243984	------	------	7	USH00247318
567	247382	47.45	-104.33	602.00	MT	SAVAGE	------	------	------	7	USH00247382
568	248501	48.30	-112.25	1161.30	MT	VALIER	------	------	------	7	USH00248501
569	248569	47.88	-105.36	696.20	MT	VIDA 6 NE	246660	------	------	7	USH00248569
570	248597	45.29	-111.94	1759.60	MT	VIRGINIA CITY	------	------	------	7	USH00248597
571	248857	44.65	-111.10	2029.70	MT	WEST YELLOWSTONE	------	------	------	7	USH00248857
572	248930	46.54	-110.90	1536.20	MT	WHITE SULPHUR SPRNGS 2	248927	------	------	7	USH00248930
573	250070	41.68	-98.00	545.60	NE	ALBION	------	------	------	6	USH00250070
574	250130	42.11	-102.89	1217.40	NE	ALLIANCE 1WNW	------	------	------	7	USH00250130
575	250375	41.04	-96.37	326.10	NE	ASHLAND NO 2	------	------	------	6	USH00250375
576	250420	42.51	-99.03	637.00	NE	ATKINSON 3SW	------	------	------	6	USH00250420
577	250435	40.37	-95.74	283.50	NE	AUBURN 5 ESE	------	------	------	6	USH00250435
578	250622	40.29	-96.75	395.30	NE	BEATRICE 1N	250620	------	------	6	USH00250622
579	250640	40.13	-99.82	658.40	NE	BEAVER CITY	------	------	------	6	USH00250640
580	251145	41.66	-103.10	1117.40	NE	BRIDGEPORT	------	------	------	7	USH00251145
581	251200	41.40	-99.67	762.00	NE	BROKEN BOW 2 W	------	------	------	6	USH00251200
582	252020	40.61	-96.94	437.40	NE	CRETE	------	------	------	6	USH00252020
583	252100	40.67	-100.49	829.40	NE	CURTIS 3NNE	------	------	------	6	USH00252100
584	252205	41.24	-97.13	490.70	NE	DAVID CITY	------	------	------	6	USH00252205
585	252820	40.07	-97.16	411.50	NE	FAIRBURY 5S	------	------	------	6	USH00252820
586	252840	40.64	-97.59	499.90	NE	FAIRMONT	------	------	------	6	USH00252840
587	253035	40.10	-98.96	565.40	NE	FRANKLIN	------	------	------	6	USH00253035
588	253175	40.53	-97.59	496.80	NE	GENEVA	------	------	------	6	USH00253175
589	253185	41.45	-97.76	484.60	NE	GENOA 2 W	------	------	------	6	USH00253185
590	253365	40.94	-100.15	787.90	NE	GOTHENBURG	------	------	------	6	USH00253365
591	253615	42.68	-103.88	1478.30	NE	HARRISON	------	------	------	7	USH00253615
592	253630	42.61	-97.26	417.60	NE	HARTINGTON	------	------	------	6	USH00253630
593	253660	40.64	-98.38	591.30	NE	HASTINGS 4N	------	------	------	6	USH00253660
594	253715	42.51	-102.69	1159.80	NE	HAY SPRINGS 12 S	253710	------	------	7	USH00253715
595	253735	40.17	-97.59	451.10	NE	HEBRON	------	------	------	7	USH00253735
596	253910	40.45	-99.38	707.10	NE	HOLDREGE	------	------	------	6	USH00253910
597	254110	40.52	-101.65	999.70	NE	IMPERIAL	------	------	------	7	USH00254110
598	254440	41.24	-103.63	1435.00	NE	KIMBALL 2NE	------	------	------	7	USH00254440
599	254900	41.14	-102.63	1168.00	NE	LODGEPOLE	------	------	------	7	USH00254900
600	254985	41.28	-98.96	627.30	NE	LOUP CITY	------	------	------	6	USH00254985
601	255080	41.82	-97.45	481.60	NE	MADISON	------	------	------	6	USH00255080
602	255310	40.21	-100.62	796.10	NE	MC COOK	------	------	------	6	USH00255310
603	255470	42.91	-101.70	986.00	NE	MERRIMAN	------	------	------	7	USH00255470
604	255565	40.51	-98.95	658.40	NE	MINDEN	------	------	------	6	USH00255565
605	256040	41.49	-98.77	597.40	NE	NORTH LOUP	------	------	------	6	USH00256040
606	256135	42.06	-97.96	521.20	NE	OAKDALE	------	------	------	6	USH00256135
607	256570	40.12	-96.15	378.00	NE	PAWNEE CITY	------	------	------	6	USH00256570
608	256970	42.06	-100.24	819.90	NE	PURDUM	------	------	------	6	USH00256970
609	257070	40.09	-98.51	524.30	NE	RED CLOUD	------	------	------	6	USH00257070
610	257515	41.26	-98.46	541.00	NE	SAINT PAUL 4N	------	------	------	6	USH00257515
611	257715	40.90	-97.09	438.90	NE	SEWARD	------	------	------	6	USH00257715
612	258133	41.45	-100.59	911.40	NE	STAPLETON 5W	253540	------	------	6	USH00258133
613	258395	40.68	-96.18	335.30	NE	SYRACUSE	------	------	------	6	USH00258395
614	258465	40.35	-96.19	338.30	NE	TECUMSEH 1S	------	------	------	6	USH00258465
